epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,8476.55,0.64341,0.42311,1.08096,0.97391,0.95894,0.96683,0.81714,0.70273,0.4363,1.04514,0.00128192,0.00128192,0.00128192
72,8552.43,0.6413,0.41913,1.07314,0.97597,0.95368,0.96337,0.82713,0.67998,0.42427,1.03231,0.00127642,0.00127642,0.00127642
73,8629.07,0.64536,0.41842,1.07166,0.97192,0.95147,0.96261,0.8075,0.67335,0.41289,1.02266,0.00127092,0.00127092,0.00127092
74,8705.09,0.61173,0.40207,1.05687,0.97156,0.95674,0.9652,0.81575,0.7188,0.46023,1.0929,0.00126542,0.00126542,0.00126542
75,8781.83,0.6329,0.40897,1.06806,0.97797,0.94841,0.96651,0.82477,0.67699,0.41979,1.05178,0.00125992,0.00125992,0.00125992
76,8858.86,0.63323,0.4225,1.07195,0.97149,0.953,0.96159,0.82244,0.72256,0.46398,1.0745,0.00125442,0.00125442,0.00125442
77,8934.76,0.63916,0.41463,1.07001,0.97416,0.95631,0.96766,0.82799,0.6935,0.44678,1.08707,0.00124892,0.00124892,0.00124892
78,9011.39,0.61854,0.39816,1.05835,0.97507,0.92473,0.95857,0.81416,0.70306,0.49463,1.06623,0.00124342,0.00124342,0.00124342
79,9091.03,0.63476,0.41262,1.06837,0.97633,0.94315,0.96195,0.81609,0.71466,0.48451,1.09051,0.00123791,0.00123791,0.00123791
80,9168.57,0.62411,0.40028,1.05909,0.97721,0.94755,0.96449,0.82526,0.69089,0.4278,1.0584,0.00123241,0.00123241,0.00123241
81,9244.76,0.62641,0.39448,1.05723,0.98909,0.94841,0.96508,0.81949,0.7147,0.46627,1.0948,0.00122691,0.00122691,0.00122691
82,9320.38,0.63728,0.40157,1.06302,0.98653,0.94841,0.96983,0.82322,0.69122,0.45725,1.05002,0.00122141,0.00122141,0.00122141
83,9396.39,0.6287,0.40087,1.06802,0.96387,0.96157,0.96633,0.83208,0.67843,0.44181,1.0305,0.00121591,0.00121591,0.00121591
84,9471.92,0.61923,0.38977,1.05906,0.97466,0.95043,0.96824,0.82547,0.65599,0.43426,1.01246,0.00121041,0.00121041,0.00121041
85,9547.85,0.6229,0.39064,1.06228,0.97666,0.94841,0.96386,0.81894,0.68665,0.45834,1.04948,0.00120491,0.00120491,0.00120491
86,9634.23,0.62405,0.3962,1.05828,0.96381,0.95006,0.95895,0.81328,0.65912,0.44052,1.00774,0.00119941,0.00119941,0.00119941
87,9721.98,0.63306,0.40373,1.06367,0.98313,0.95368,0.96453,0.82482,0.66741,0.42894,1.05709,0.00119391,0.00119391,0.00119391
88,9800.37,0.62975,0.41215,1.06919,0.98138,0.95105,0.96481,0.82097,0.67031,0.41317,1.04918,0.0011884,0.0011884,0.0011884
89,9876.77,0.62276,0.40655,1.06587,0.9735,0.94578,0.96289,0.82229,0.70937,0.4534,1.08472,0.0011829,0.0011829,0.0011829
90,9953.34,0.61541,0.38899,1.05681,0.97722,0.96066,0.96284,0.82672,0.68053,0.4373,1.03717,0.0011774,0.0011774,0.0011774
91,10031.9,0.62668,0.40303,1.06053,0.97156,0.95183,0.96676,0.83298,0.69495,0.40784,1.07187,0.0011719,0.0011719,0.0011719
92,10108.2,0.62377,0.40162,1.05992,0.98368,0.94578,0.96838,0.83242,0.67332,0.43178,1.06997,0.0011664,0.0011664,0.0011664
93,10184,0.61036,0.391,1.05381,0.97492,0.95619,0.96693,0.82033,0.69943,0.43324,1.06306,0.0011609,0.0011609,0.0011609
94,10260.8,0.60353,0.37419,1.05295,0.9758,0.94149,0.96702,0.82131,0.70955,0.44867,1.09388,0.0011554,0.0011554,0.0011554
95,10338.4,0.60329,0.39284,1.04775,0.98198,0.95444,0.96821,0.81348,0.69184,0.42102,1.03817,0.0011499,0.0011499,0.0011499
96,10415.4,0.60726,0.38431,1.04879,0.961,0.95368,0.96334,0.82435,0.69375,0.42297,1.08826,0.0011444,0.0011444,0.0011444
97,10493.3,0.60377,0.37352,1.04344,0.98674,0.94195,0.96461,0.82843,0.66286,0.42767,1.02084,0.00113889,0.00113889,0.00113889
98,10570.4,0.59119,0.37287,1.04383,0.97659,0.95631,0.96828,0.82159,0.67538,0.42965,1.03041,0.00113339,0.00113339,0.00113339
99,10647.1,0.6048,0.38979,1.05421,0.98538,0.95795,0.96574,0.82764,0.67271,0.472,1.06948,0.00112789,0.00112789,0.00112789
100,10723.5,0.59794,0.38372,1.04654,0.97986,0.95715,0.96575,0.81872,0.64936,0.44734,1.04929,0.00112239,0.00112239,0.00112239
101,10800.3,0.5901,0.3754,1.04152,0.97533,0.95894,0.96876,0.82662,0.68195,0.42054,1.08197,0.00111689,0.00111689,0.00111689
102,10879.7,0.59287,0.38236,1.04494,0.96858,0.95562,0.9661,0.83085,0.65292,0.44561,1.02454,0.00111139,0.00111139,0.00111139
103,10958.2,0.60583,0.39103,1.04858,0.97134,0.96281,0.96779,0.82746,0.67677,0.43601,1.04285,0.00110589,0.00110589,0.00110589
104,11035.7,0.60939,0.3913,1.05854,0.99304,0.94052,0.96962,0.84046,0.64611,0.41402,1.01064,0.00110039,0.00110039,0.00110039
105,11111.7,0.60028,0.38332,1.04309,0.97932,0.95947,0.96926,0.83125,0.65216,0.39651,1.03089,0.00109489,0.00109489,0.00109489
106,11187.8,0.57621,0.36286,1.03362,0.9855,0.94151,0.96617,0.83185,0.66178,0.46042,1.03408,0.00108938,0.00108938,0.00108938
107,11263.3,0.5862,0.37001,1.04271,0.97153,0.96157,0.96682,0.82327,0.68974,0.41592,1.06223,0.00108388,0.00108388,0.00108388
108,11339.9,0.59449,0.3814,1.04189,0.97129,0.9558,0.96666,0.83746,0.65535,0.43692,1.05148,0.00107838,0.00107838,0.00107838
