epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,5250.97,0.52474,0.30167,0.92761,0.97202,0.94746,0.96466,0.82629,0.56422,0.33802,0.93574,0.00110589,0.00110589,0.00110589
104,5295.61,0.52288,0.30426,0.9243,0.97022,0.9467,0.96264,0.82729,0.57511,0.34168,0.94301,0.00110039,0.00110039,0.00110039
105,5340.02,0.51878,0.30223,0.92095,0.97863,0.94371,0.96431,0.82068,0.57813,0.33873,0.95318,0.00109489,0.00109489,0.00109489
106,5384.88,0.52832,0.30491,0.93184,0.96482,0.9467,0.96238,0.82052,0.5764,0.33779,0.94088,0.00108938,0.00108938,0.00108938
107,5429.87,0.52096,0.29992,0.92599,0.97225,0.94411,0.96351,0.83165,0.57001,0.31583,0.94015,0.00108388,0.00108388,0.00108388
108,5474.56,0.53375,0.30978,0.92686,0.96014,0.95646,0.96257,0.82348,0.59748,0.33556,0.94703,0.00107838,0.00107838,0.00107838
109,5525.33,0.53114,0.31032,0.9309,0.97369,0.94723,0.96156,0.82862,0.58417,0.35108,0.94986,0.00107288,0.00107288,0.00107288
110,5577.02,0.52988,0.30808,0.93043,0.98003,0.94052,0.96693,0.83188,0.56203,0.32735,0.93709,0.00106738,0.00106738,0.00106738
111,5628.65,0.51111,0.29912,0.91648,0.97149,0.95706,0.96427,0.83071,0.57046,0.32669,0.93763,0.00106188,0.00106188,0.00106188
112,5681.2,0.51365,0.29456,0.91917,0.97367,0.94212,0.96303,0.83326,0.5712,0.32848,0.94688,0.00105638,0.00105638,0.00105638
113,5734.23,0.51825,0.30098,0.92023,0.95848,0.95596,0.96544,0.83472,0.57577,0.3337,0.95722,0.00105088,0.00105088,0.00105088
114,5790.44,0.51945,0.30268,0.92045,0.961,0.94653,0.95382,0.82944,0.57486,0.3405,0.94117,0.00104538,0.00104538,0.00104538
115,5841.82,0.50837,0.29503,0.92432,0.97986,0.94411,0.96094,0.82839,0.56195,0.35788,0.93459,0.00103987,0.00103987,0.00103987
116,5886.18,0.509,0.29692,0.91797,0.97227,0.94411,0.96332,0.82632,0.57987,0.34813,0.95957,0.00103437,0.00103437,0.00103437
117,5931.41,0.51363,0.29624,0.91712,0.97276,0.94411,0.96569,0.83079,0.55777,0.35084,0.94276,0.00102887,0.00102887,0.00102887
118,5976.76,0.51555,0.29545,0.91701,0.9677,0.95048,0.9625,0.83273,0.56745,0.37199,0.94335,0.00102337,0.00102337,0.00102337
119,6022.26,0.50978,0.2955,0.92241,0.97192,0.94802,0.96584,0.82969,0.54708,0.36365,0.92837,0.00101787,0.00101787,0.00101787
120,6068.41,0.51839,0.29247,0.92184,0.97738,0.94393,0.9656,0.83468,0.5627,0.32235,0.94956,0.00101237,0.00101237,0.00101237
121,6115.79,0.50697,0.28888,0.91834,0.96607,0.94903,0.96687,0.83785,0.57573,0.3155,0.96028,0.00100687,0.00100687,0.00100687
122,6163.15,0.51141,0.29066,0.92308,0.97406,0.95329,0.96934,0.82869,0.57484,0.32938,0.94659,0.00100137,0.00100137,0.00100137
123,6210.01,0.51054,0.29719,0.91526,0.97062,0.94593,0.96692,0.82498,0.57019,0.3347,0.94371,0.000995866,0.000995866,0.000995866
